state;danish_immigrants;population_1920;area
Alabama;191;2348174;135767
Alaska;;55036;1723337
Arizona;398;334162;295234
Arkansas;180;1752204;137732
California;18721;3426861;423967
Colorado;2823;939629;269601
Connecticut;3040;1380631;14357
Delaware;77;223003;6446
District of Columbia;237;437571;177
Florida;575;968470;170312
Georgia;127;2895832;153910
Hawaii;;255912;28313
Idaho;2240;413866;216443
Illinois;17098;6485280;149995
Indiana;996;2930390;94326
Iowa;18020;2404021;145746
Kansas;2263;1769257;213100
Kentucky;89;2416630;104656
Louisiana;331;1798509;135659
Maine;1065;768014;91633
Maryland;382;1449661;32131
Massachusetts;3629;3852356;27336
Michigan;7178;3668412;250487
Minnesota;16904;2387125;225163
Mississippi;113;1790618;125438
Missouri;1688;3404055;180540
Montana;2990;548889;380831
Nebraska;12338;1296372;200330
Nevada;551;77407;286380
New Hampshire;204;443083;24214
New Jersey;5704;3155900;22591
New Mexico;115;360350;314917
New York;14222;10385277;141297
North Carolina;69;2559123;139391
North Dakota;4552;646872;183108
Ohio;2353;5759394;116098
Oklahoma;561;2028283;181037
Oregon;3602;783389;254799
Pennsylvania;3065;8720017;119280
Rhode Island;365;604397;4001
South Carolina;76;1683724;82933
South Dakota;5983;636547;199729
Tennessee;138;2337885;109153
Texas;1508;4663228;695662
Utah;6970;449396;219882
Vermont;115;352428;24906
Virginia;459;2309187;110787
Washington;8359;1356621;184661
West Virginia;121;1463701;62756
Wisconsin;15420;2632067;169635
Wyoming;936;194402;253335
